Sentence,Sentences,Tag
84,kÄ±sSan â‚¹ 50/ 0121 g 415 o 16/02124 15/11/24 FRESH TOMATO KETCHUp FROM THE FARMER . DO5 Â° 9 à¥¤ 2 14 20 SINCE 1934 . 100 % REA OMA Per Seve ( 150 ) 20 19 ) ONLY BRAND NAME & DOESNT REPRESENT ITS TRUE NATURE . ,B-BRAND O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
85,Aveeno . Daily Moisturizing BODY LOTION Intensely Nourishes Dry Skin Clinically - proven moisturization that lasts 24 hours FRAGRANCE FREE ATOLO COMMENDEO BRAND 20 fl oz ( 591 ml ) PREBIOT 30052130 TIC OAT ,B-BRAND O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
86,"AYURVEDA ITONE EYE DROPS EYE DROPS Keeps eyes cool , lustrous and healthy . Clears the vision . Net Qty . : 10 mnl ",B-BRAND O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O 
87,Extra - Shining Dy Zero Wastage DewFres â„¢ 3x Extra - Gleanig DISH WASH BAR GINGER+LEMON FREE SCRUBBER INSIDE WORTH R 10 eanirgN Monthly Pack ,O O O O O O B-BRAND O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O 
88,Papar boat SwING Juicier Drink Zesty Pomegranate ,B-BRAND I-BRAND O B-BRAND I-BRAND O O 
89,Farmley CLASSIC SALTED CASHEVWS CHOLESTEROL FREE 19 % PROTEIN CONTENT ROASTED IN 0 % OIL ) ,B-BRAND O B-PRODUCT I-PRODUCT O O O O O O O O O O O O 
90,"Per Sereyt 86 Made With Dal , Corn & Rice Kurkure CHiLLi CHATKA INAMKEEN   TCHEA ",O O O O O O O O O O B-PRODUCT O O O O O 
91,Sunfeast farmlite No Maida + Source ofFibre Oats Cookies BISCUITS & Chocolate Mode rom AASHIRVAAD Afo ,B-BRAND O O O O O O B-PRODUCT I-PRODUCT O O O O O O O 
92,"INDIA 'S No.1 SELLING SUNFLOWER OIL Freedom Refined Sunflower Oi nic acid tha heps Freedom to eat . Freedom to enjoy Contains inole acihe bbe aintair "" Contains tocaoherle whik a mbaralAetioriinb ",O O O O B-PRODUCT I-PRODUCT B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O 
93,Maggi Nuti - licious masala VEG ATTA noodles 72.5 g 20 Pi ,B-BRAND O O O O O O B-PRODUCT O O O O 
94,"mamaearth moisturizing bathing bar for babies Goat Milk , Oatmeal Shea Butter SLS / SLES & Paraben Free Toxin Feee Oermatologicaliy Tested months Net Wt . 7sg x2 /264 0Z x2 5.5 ) pH S5 ",B-BRAND O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
95,malava SINCEI93 0 gentle baby shampo0 FREE FROM SSES Synthetic Colour Mild . No tears . Softens nourishes and improves hair lustre . HiBIscus â€¢ CHICKPEA Clinically tested . Hypoallergenic . NO S0254SS Pure Gentle Safe ,B-BRAND O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O 
96,Qadbury Dairy Mill SILK ) CHOCOLATE ,B-BRAND O O O O B-PRODUCT 
97,inyJersey STRAWBERRY FRUIT YO0GHURT NET QUANTIn 1008 ,B-BRAND O O B-PRODUCT O O O 
98,"MAKES 18 KHAMAN DHOKLAS 3 . Gits SINCE 1963 Snack MIX KHAMAN DHOKLA 20 NO ADDED PRESERVATIVES ARTIFICIAL , FLAVOURS & OcoLOURS NETIWT 180 g ",O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O 
99,KEYAA CHICKEN PICKLE 40 % Meat Chá»¥ 2 No Added Col ,B-BRAND B-PRODUCT I-PRODUCT O O O O O O O O 
100,18:13 LACTOGEN Nestle Follow - up formula with probiotic 2 ||| ACTOGEN PRO IMPORTANT NOTICE : MOTHER 'S MILK IS BEST FOR YOUR BABY . PACK CHANGE 2 ACIOGEN guull l72 % LACTOGEN 2 Probiotic L.reuteri After 6 months Upto 12 months NUTRTION NHOBMADoM ,O B-PRODUCT B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O B-BRAND O O B-PRODUCT O O O O O O O O O O O 
101,Dabur REDCel RED Gel 12 ) Ayurvedic Gel for Freshness Effective Oral Care AYURVEDC HERBS eD Rul l 71 % 12 ,B-BRAND O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O 
102,MEGA SAVER PACK 2x200 g Dabur MESWAK Buy PURE MISWAK EXTRACT 0 % FLUORIDE | PARABEN | TRICLOSAN FORMALIN Get 25/-or TOOTHPASTE FOR COMPLETE TOOTH & GUM CARE Great Mouth Feel O GERM PROTECTION PROTECTS GUM 9 ANTI - INFLAMMATORY O FIGHTS TOOTH DECAY PREVENTS BAD BREATH O FIGHTs PLAQUE ,O O O O O B-BRAND O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
103,Hansaplast ||| Hansaplast COTTON CREPE BANDAGE B. ? Uifers firm compression & warmth Supports long lasting pain relief Skin friendly n o Rl O71 % H BENEFITS 10 cm 8C1 Germany 's No.1 Brand HOW To USE : ,B-BRAND O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
104,"VICKS ZZZQuil NATURA NUTRACEUTICAL Melatonin HELPS YOU FALL ASLEEP FAST Blended with Chamomile , Vitamin BÃ³ NONEXT DAY DROWSINESS , For sDICTIVE or adults only NON - ADDICTIVE n o Rl O71 % 24 GUMMIES NAIALEPRS ",B-BRAND O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT O 
105,EVITAL NEW PACK REVITAL H COMPLETE MULTIVITAMIN Improves STAMINA Enhances ENERGY Supports IMMUNITY Powered with Natural Ginseng 30 Copsules REVITAL INDIAS n o Rl O71 % No . UPPLEMsNT MEN REVITAL ,B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
106,clAsSMAte The Dead Sea Jordan a gl071 % sl02519l002358 ,B-PRODUCT O O O O O O O O 
107,REMOYES TOUGH STAINS EVEN IN Before 3.2L After Packaging May Vary NEW FORMULA -20 Surf MINUTES CrELE excel MATIC MEGA PACK tn R l 71 % TOP LOAD SANS EVEN N NINUTES OF A TOP LOAD HACHME ,O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O 
108,ambi pur ROOM FRESH Moodtherapy Collection Relax & Unwind Net wt : ,O O O O O O O O O O O O 
109,Baygon MAX COCKROACH KILLER LLS DIARRHEA & D SPREADING MCKROACHES MAXIWAND REACHES THE ,B-BRAND O B-PRODUCT I-PRODUCT O O O O O O O O O 
110,0CEAN FISH PUREPET CAT ADULT Smart food for a smarter pet PUREPET -Conplete Food for Cat Aduli- PUREPETLR COMPLETE|Taurine for Healthy Heart . FOOD FOR Healthy Skin & Beautiful Coat . CAT Complete Nutrition ,B-BRAND O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O 
111,"Milly 24 SLICES CHEESE SLICES Net Weight : 480 g 0.53 KB / S "" Suggested Serving ony 26 ",B-BRAND O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O 
112,SPICED BUTTERMILK 9.00 Ne l 26 ) 2pcs Amu . ( 1L ) MAST A5 MAST KB / S ,B-PRODUCT I-PRODUCT O O O O O O B-BRAND O O O O O O O O O O 
113,Partly Skimmed Fruit Yogurt epigamia eplgmia 11.0 Ne l 25 ) KB / S HIGH PROTEIN GREEK YOGURT alphonso mango ZERO RESERNVATINE ,O O O B-PRODUCT B-BRAND O O O O O O O O O O O O O O O O O 
114,modeRn moder DeRn Omilk plus bread W 's Co pach is pa calcium power of 2thi 1alas 16.0 Ye l 25 KB / S ,B-BRAND O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O 
115,"BAREVR 2 iDY PANEER SOFT & CREAMYC FROM NATURAL INGREDIENTS MADE WITH LEMON CONCENTRATE Ã˜ ) NO ADOED PRESERVATIVES NOT SYNTHETIC ACIDS GCONGITIONSwe EEED wONOSATURATO FATTY ACI ANSAA YADOS THS PACK CoNTAINS 4 SERVINGS NUTNTIONAL FACTS PER 100 WPOK ) ) PREMIUM INGREDIENTS D OPEy 754 OSTOCARE DETAS OFRES FO00 Sie AVALA VLA KASARA NOL ATTIELE FSSAL LIC NO , 10021043000120 Www.oFREO0D RESHFOOD.COM SURVEY NO . 21/0 , NCHOLVLAGE , NEAR IOUANEWAL FSSAL LIC . NO 10018022008962 NET QUANTITY USE BY DATE ONLOF ALL TAXES 12.0 N KB / S 200 o Ssai A ) PASTEURISED MILK 8 li906020580572 Lie . No . 10021043000120 OTHER MADE IN INDIA 2Pcs 25 ( 200 g ) FANEER ",O O B-BRAND B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
